repo,parent commit,method path,rank,RR,AP,hit@10,sort_ranks,ground truth size,inner corpus size,outer corpus size,repo size
apache/ant-ivy,aefb24facc745fdec7b16fa28aac6538e4a8b00c,src/java/org/apache/ivy/util/url/HttpClientHandler.java/checkStatusCode,1.0,1.0,1.0,1.0,"[1.0, 5438.0]",1,33,5404,5438
apache/ant-ivy,aefb24facc745fdec7b16fa28aac6538e4a8b00c,src/java/org/apache/ivy/util/url/BasicURLHandler.java/checkStatusCode,1.0,1.0,1.0,1.0,"[1.0, 5438.0]",1,8,5429,5438
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/ant/IvyRepositoryReport.java/doExecute,114.0,0.008771929824561403,0.010954041354400151,0.0,"[114.0, 150.0, 260.0, 415.0, 450.0, 541.0, 578.0, 797.0, 3952.0]",8,34,3917,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/install/InstallEngine.java/install,88.0,0.011363636363636364,0.0132011259262295,0.0,"[88.0, 172.0, 209.0, 237.0, 319.0, 492.0, 570.0, 712.0, 3952.0]",8,1,3950,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/search/SearchEngine.java/listTokenValues,2.0,0.5,0.3002073145515059,1.0,"[2.0, 6.0, 7.0, 11.0, 13.0, 16.0, 759.0, 1099.0, 3952.0]",8,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/search/SearchEngine.java/listOrganisationEntries,1.0,1.0,0.6884785605455996,1.0,"[1.0, 2.0, 3.0, 5.0, 6.0, 7.0, 716.0, 1056.0, 3952.0]",8,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/search/SearchEngine.java/listOrganisations,1.0,1.0,0.6857143771824299,1.0,"[1.0, 2.0, 3.0, 4.0, 7.0, 8.0, 638.0, 765.0, 3952.0]",8,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/search/SearchEngine.java/listModuleEntries,1.0,1.0,0.7351434538150309,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 7.0, 503.0, 793.0, 3952.0]",8,10,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/search/SearchEngine.java/listModules,1.0,1.0,0.7013263795591382,1.0,"[1.0, 2.0, 3.0, 4.0, 6.0, 8.0, 495.0, 609.0, 3952.0]",8,8,3941,3952
apache/ant-ivy,f3fa2da056c709cb570740c0390682bef8be60a4,src/java/org/apache/ivy/core/search/SearchEngine.java/listRevisionEntries,1.0,1.0,0.6648597830603483,1.0,"[1.0, 2.0, 3.0, 4.0, 8.0, 9.0, 394.0, 847.0, 3952.0]",8,10,3941,3952
